"","latitude","longitude","name","cuisine","price","rating","review_count","neighborhood","borough"
"106",40.7724199,-73.9555,"Lusardi's","italian","$$$",4,176,"Upper East Side","Manhattan"
"107",40.728,-74.0001497,"Carbone","italian","$$$$",4,843,"Greenwich Village","Manhattan"
"108",40.77249,-73.95713,"Caffe Buon Gusto","italian","$$",4,389,"Upper East Side","Manhattan"
"109",40.7198601300801,-74.010039072422,"Locanda Verde","italian","$$$",4,1538,"Tribeca","Manhattan"
"110",40.72813,-74.00188,"Song E Napule","italian","$$",4.5,380,"Greenwich Village","Manhattan"
"111",40.77582,-73.98188,"Sole Bistro Italiano","italian","$$",4,39,"Upper West Side","Manhattan"
"112",40.732283,-73.999284,"Babbo","italian","$$$$",4,2326,"Greenwich Village","Manhattan"
"113",40.7244923,-73.9944022,"Emilio's Ballato","italian","$$$",4,288,"Nolita","Manhattan"
"114",40.7654289685161,-73.9914178848267,"Ristorante Il Melograno","italian","$$",4,278,"Hell's Kitchen","Manhattan"
"115",40.75686,-73.99356,"Trattoria Casa Di Isacco","italian","$$",4,253,"Hell's Kitchen","Manhattan"
"116",40.725139,-74.002098,"San Carlo Osteria Piemonte","italian","$$$",4.5,175,"SoHo","Manhattan"
"117",40.71734,-74.01044,"L' Angolo Tribeca","italian","$$",4,85,"Tribeca","Manhattan"
"118",40.726306,-74.003427,"Ciccio","italian","$$",4,266,"SoHo","Manhattan"
"119",40.7277013287721,-73.9877394513958,"Via Della Pace","italian","$$",4,499,"East Village","Manhattan"
"120",40.73774,-73.99127,"al Vicoletto","italian","$$",4,142,"Chelsea","Manhattan"
"121",40.73774,-73.99127,"al Vicoletto","italian","$$",4,142,"Chelsea","Manhattan"
"122",40.726284,-74.002151,"Piccola Cucina Enoteca","italian","$$",4,236,"SoHo","Manhattan"
"123",40.761082,-73.997872,"La Vela Dining & Bar","italian","$$",4,155,"Hell's Kitchen","Manhattan"
"124",40.7223153441439,-73.9899454318763,"Spaghetti Incident","italian","$$",4,519,"Lower East Side","Manhattan"
"125",40.76234,-73.99695,"dell'anima","italian","$$$",4,621,"Hell's Kitchen","Manhattan"
"126",40.76234,-73.99695,"dell'anima","italian","$$$",4,621,"Hell's Kitchen","Manhattan"
"127",40.7287,-73.99971,"Carroll Place","italian","$$",4,957,"Greenwich Village","Manhattan"
"128",40.7226371,-73.9951331,"Emporio","italian","$$",4,725,"Nolita","Manhattan"
"129",40.7272,-73.99228,"Misirizzi","italian","$$",4.5,113,"NoHo","Manhattan"
"130",40.8141624,-73.960288,"Pisticci","italian","$$",4,786,"Morningside Heights","Manhattan"
"131",40.7179895,-73.9982094,"Il Cortile Restaurant","italian","$$",3.5,457,"Little Italy","Manhattan"
"132",40.73687,-74.00812,"Malaparte","italian","$$",4,286,"West Village","Manhattan"
"133",40.7661,-73.98763,"Giardino 54","italian","$$",4.5,44,"Hell's Kitchen","Manhattan"
"134",40.72184,-73.987714,"Tre","italian","$$",4,457,"Lower East Side","Manhattan"
"135",40.74921,-73.97883,"Rossini's","italian","$$$",4,176,"Murray Hill","Manhattan"
"136",40.707999,-74.0142651,"Sauce & Barrel","italian","$$",4,302,"Financial District","Manhattan"
"137",40.76492,-73.97794,"Angelo's Coal Oven Pizzeria","italian","$$",4,768,"Midtown","Manhattan"
"138",40.76394,-73.9883399,"B Side Pizza & Wine Bar","italian","$$",4.5,994,"Hell's Kitchen","Manhattan"
"139",40.76935,-73.9627,"Caffe dei Fiori","italian","$$$",4.5,72,"Upper East Side","Manhattan"
"140",40.7792833,-73.9776967,"Pappardella","italian","$$",3.5,542,"Upper West Side","Manhattan"
"141",40.7349243164062,-73.9855880737305,"Follia NYC","italian","$$",4,134,"Gramercy","Manhattan"
"142",40.854131,-73.886601,"Antonio's Trattoria","italian","$$",4.5,690,"Belmont","Bronx"
"143",40.743835,-73.996088,"Zagara Ristorante Italiano","italian","$$",4,186,"Chelsea","Manhattan"
"144",40.7377203192966,-74.0080020711638,"Barbuto","italian","$$$",4,885,"West Village","Manhattan"
